PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C,Union Council,UC_C
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Bannu Mc,200048
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Bazar Ahmed Khan,200049
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Daud Shah,200050
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Fatima Khel Beli,200051
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Fatima Khel Kalan,200052
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Garhi Sher Ahmed,200053
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Gorwala,200054
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Hinjal,200055
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Jando Khel,200056
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Jani Khel,200057
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Kaka Khel,200058
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Khawaja Mad,200059
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Khojari,200060
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Lalozai,200061
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Landi Dak,200062
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Mamash Khel Naughari,200063
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Mambati Barakzai,200064
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Mandak,200065
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Mira Khel,200066
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Mitha Khel,200067
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Mohammad Khel Wazir,200068
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Nizam Dherma Khel,200069
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Nurar,200070
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Serai Nauring,200071
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Shahbaz Azmat Khel,200072
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Shamshi Khel,200073
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Sikander Khel,200074
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Sukari Jabbar,200075
Khyber Pakhtunkhwa,2,Bannu,202,Bannu,20201,Zargar Mama,200076
Khyber Pakhtunkhwa,2,Swat,222,Barikot,22203,Barikot,200782
Khyber Pakhtunkhwa,2,Swat,222,Barikot,22203,Ghaligay,200783
Khyber Pakhtunkhwa,2,Swat,222,Barikot,22203,Kota,200784
Khyber Pakhtunkhwa,2,Swat,222,Barikot,22203,Shamozi,200785
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Ajmeerah,200093
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Banian,200094
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Batagram,200095
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Batta Mohri,200096
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Ganjbori,200097
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Kuza Banda,200098
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Paimal Sharif,200099
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Pashora,200100
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Raj Dahari,200101
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Shamlai,200102
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Tarand,200103
Khyber Pakhtunkhwa,2,Batagram,203,Batagram,20302,Thakot,200104
