PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C
Punjab,6,Nankana Sahib,624,Sangla Hill,62403
Punjab,6,Sheikhupura,633,Sheikhupura,63304
Punjab,6,Faisalabad,608,Jaranwala,60804
Punjab,6,Faisalabad,608,Faisalabad City,60802
Punjab,6,Sargodha,632,Bhalwal,63201
Punjab,6,Sargodha,632,Shahpur,63205
Punjab,6,Sargodha,632,Sahiwal (Sardogha),63203
Punjab,6,Sargodha,632,Sargodha,63204
Punjab,6,Sialkot,634,Sialkot,63404
Sindh,8,Ghotki,803,Ubauro,80305
Punjab,6,Sheikhupura,633,Ferozewala,63301
Punjab,6,Sheikhupura,633,Sharqpur,63303
Punjab,6,Chakwal,605,Kallar Kahar,60503
Punjab,6,Sargodha,632,Kot Momin,63202
Punjab,6,Nankana Sahib,624,Safdarabad,62402
Punjab,6,Nankana Sahib,624,Shahkot,62404
Punjab,6,Rawalpindi,630,Kallar Sayedan,63003
Punjab,6,Sialkot,634,Sambrial,63403
Punjab,6,Jhang,612,Ahmedpur Sial,61201
Punjab,6,Jhelum,613,Sohawa,61304
Punjab,6,Jhelum,613,Jhelum,61302
Punjab,6,Attock,601,Hazro,60104
Punjab,6,Rawalpindi,630,Taxila,63007
Sindh,8,Shikarpur,817,Shikarpur,81704
Sindh,8,Larkana,810,Bakrani,81001
Sindh,8,Larkana,810,Dokri,81002
Sindh,8,Khairpur,809,Faiz Ganj,80901
Sindh,8,Naushahro Feroze,813,Naushahro Feroze,81304
Sindh,8,Naushahro Feroze,813,Moro,81303
Sindh,8,Jamshoro,806,Sehwan,80602
Sindh,8,Jamshoro,806,Manjhand,80604
Sindh,8,Shaheed Benazirabad,816,Kazi Ahmed,81602
Sindh,8,Shaheed Benazirabad,816,Daur,81601
Sindh,8,Shaheed Benazirabad,816,Sakrand,81604
Sindh,8,Sanghar,814,Sanghar,81403
Sindh,8,Sanghar,814,Sinjhoro,81405
Sindh,8,Matiari,811,Hala,81101
Sindh,8,Sanghar,814,Shahdadpur,81404
Sindh,8,Shaheed Benazirabad,816,Nawabshah,81603
Sindh,8,Mirpur Khas,812,Jhuddo,81202
Punjab,6,Multan,622,Multan City,62203
Punjab,6,Faisalabad,608,Faisalabad Saddar,60803
Sindh,8,Kashmore,808,Kanhdkot,80801
Sindh,8,Qambar Shahdadkot,815,Shahdadkot,81503
Sindh,8,Hyderabad,804,Qasimabad,80402
Sindh,8,Tando Muhammad Khan,820,Tando Ghulam Hyder,82002
Sindh,8,Tando Muhammad Khan,820,Tando Muhammad Khan,82001
Sindh,8,Jamshoro,806,Kotri,80601
Punjab,6,Khushab,616,Quaidabad,61603
Punjab,6,Khushab,616,Khushab,61601
Sindh,8,Karachi City,807,Karachi West,80702
Sindh,8,Karachi City,807,Karachi Central,80703
Sindh,8,Karachi City,807,Karachi South,80704
Sindh,8,Karachi City,807,Karachi East,80705
Fata,4,Fr D.i.khan,409,Fr D.i.khan,40901
Fata,4,South Waziristan Agency,407,Toi Khulla,40707
Fata,4,South Waziristan Agency,407,Wana,40708
Fata,4,South Waziristan Agency,407,Serwekai,40705
Fata,4,South Waziristan Agency,407,Tiarza,40706
Fata,4,South Waziristan Agency,407,Birmal,40701
Fata,4,Fr Tank,413,Fr Tank,41301
Fata,4,Fr Lakki Marwat,411,Fr Lakki,41101
Fata,4,South Waziristan Agency,407,Ladha,40702
Fata,4,South Waziristan Agency,407,Makin,40703
Fata,4,South Waziristan Agency,407,Saraogha,40704
Fata,4,North Waziristan Agency,405,Razmak,40507
Fata,4,North Waziristan Agency,405,Garyum,40503
Fata,4,North Waziristan Agency,405,Dossali,40502
Fata,4,North Waziristan Agency,405,Data Khel,40501
Fata,4,North Waziristan Agency,405,Miran Shah,40506
Fata,4,North Waziristan Agency,405,Mir Ali,40505
Fata,4,North Waziristan Agency,405,Ghulam Khan,40504
Fata,4,Fr Bannu,408,Fr Bannu,40801
Fata,4,North Waziristan Agency,405,Spinwam,40509
Fata,4,North Waziristan Agency,405,Shewa,40508
Fata,4,Orakzai Agency,406,Ismailzai,40602
